,Year,bResult,rResult,gamelength
574,2016,0,1,48
575,2016,1,0,39
576,2016,1,0,26
577,2016,0,1,27
578,2016,1,0,35
579,2016,1,0,40
580,2016,0,1,34
581,2016,1,0,27
582,2016,1,0,34
583,2016,1,0,40
584,2016,0,1,47
585,2016,0,1,38
586,2016,0,1,48
587,2016,1,0,34
588,2016,0,1,45
589,2016,1,0,44
590,2016,0,1,43
591,2016,0,1,34
592,2016,0,1,51
593,2016,1,0,52
594,2016,1,0,33
595,2016,0,1,40
596,2016,0,1,38
597,2016,1,0,30
598,2016,0,1,44
599,2016,0,1,41
600,2016,0,1,36
601,2016,1,0,27
602,2016,1,0,33
603,2016,0,1,38
604,2016,1,0,39
605,2016,0,1,32
606,2016,1,0,32
607,2016,1,0,34
608,2016,1,0,33
609,2017,0,1,41
610,2017,1,0,37
611,2017,0,1,39
612,2017,1,0,25
613,2017,0,1,35
614,2017,1,0,44
615,2017,0,1,31
616,2017,1,0,37
617,2017,1,0,49
618,2017,1,0,44
619,2017,0,1,49
620,2017,1,0,39
621,2017,1,0,53
622,2017,1,0,37
623,2017,1,0,53
624,2017,1,0,51
625,2017,1,0,39
626,2017,0,1,45
627,2017,1,0,52
628,2017,0,1,42
629,2017,0,1,34
630,2017,0,1,39
631,2017,1,0,45
632,2017,1,0,36
633,2017,0,1,26
634,2017,1,0,43
635,2017,0,1,33
636,2017,0,1,49
637,2017,0,1,40
638,2017,1,0,30
639,2017,0,1,28
640,2017,1,0,40
641,2017,1,0,42
642,2017,0,1,28
643,2017,1,0,42
644,2017,1,0,43
645,2017,1,0,46
646,2017,1,0,31
647,2017,1,0,50
648,2017,0,1,25
649,2017,1,0,32
650,2017,0,1,32
651,2017,1,0,30
652,2017,1,0,31
653,2017,1,0,41
654,2017,1,0,39
655,2017,1,0,34
656,2017,0,1,38
657,2017,1,0,37
658,2017,1,0,33
659,2017,1,0,50
660,2017,0,1,55
661,2017,1,0,43
662,2017,1,0,39
663,2017,0,1,34
664,2017,1,0,28
665,2017,1,0,26
666,2017,0,1,33
667,2017,1,0,32
668,2017,0,1,34
669,2017,0,1,36
670,2017,0,1,59
671,2017,1,0,40
672,2017,1,0,34
673,2017,0,1,45
674,2017,1,0,33
675,2017,1,0,49
676,2017,0,1,44
677,2017,0,1,51
678,2017,1,0,41
679,2017,0,1,35
680,2017,1,0,30
681,2017,1,0,46
682,2017,0,1,30
683,2017,1,0,45
684,2017,1,0,32
685,2017,1,0,41
686,2017,1,0,51
687,2017,0,1,35
688,2017,0,1,40
689,2017,1,0,31
690,2017,0,1,57
691,2017,1,0,28
692,2017,1,0,25
693,2017,0,1,40
694,2017,0,1,30
695,2017,1,0,43
696,2017,1,0,46
697,2017,1,0,36
698,2017,1,0,45
699,2017,1,0,31
700,2017,0,1,37
701,2017,0,1,35
702,2017,0,1,37
703,2017,0,1,46
704,2017,1,0,34
705,2017,0,1,43
706,2017,1,0,31
707,2017,0,1,35
708,2017,0,1,57
709,2017,1,0,30
710,2017,1,0,27
711,2017,1,0,50
712,2017,1,0,35
713,2017,1,0,42
714,2017,1,0,36
715,2017,0,1,32
716,2017,0,1,33
717,2017,0,1,41
718,2017,0,1,40
719,2017,1,0,35
720,2017,0,1,41
721,2017,0,1,31
722,2017,0,1,43
723,2017,0,1,35
724,2017,1,0,40
725,2017,0,1,28
726,2017,1,0,44
727,2017,0,1,28
728,2017,1,0,35
729,2017,1,0,30
730,2017,0,1,29
731,2017,1,0,40
732,2017,1,0,35
733,2017,0,1,32
734,2017,1,0,25
735,2017,1,0,27
736,2017,0,1,39
737,2017,0,1,47
738,2017,1,0,27
739,2017,1,0,38
740,2017,1,0,35
741,2017,1,0,31
742,2017,1,0,47
743,2017,0,1,27
744,2017,1,0,35
745,2017,1,0,27
746,2017,1,0,29
747,2017,0,1,43
748,2017,1,0,28
749,2017,1,0,34
750,2017,1,0,50
751,2017,1,0,29
752,2017,1,0,40
753,2017,0,1,47
754,2017,1,0,41
755,2017,1,0,47
756,2017,0,1,36
757,2017,0,1,36
758,2017,1,0,35
759,2017,0,1,34
760,2017,1,0,47
761,2017,0,1,29
762,2017,1,0,40
763,2017,1,0,33
764,2017,1,0,28
765,2017,0,1,39
766,2017,0,1,34
767,2017,1,0,26
768,2017,1,0,28
769,2017,0,1,42
770,2017,1,0,49
771,2017,1,0,36
772,2017,1,0,41
773,2017,1,0,57
774,2017,1,0,40
775,2017,0,1,38
776,2017,1,0,30
777,2017,1,0,37
778,2017,0,1,39
779,2017,1,0,39
780,2017,1,0,27
781,2017,1,0,41
