,min_1,min_2,min_3,min_4,min_5,min_6,min_7,min_8,min_9,min_10,min_11,min_12,min_13,min_14,min_15,min_16,min_17,min_18,min_19,min_20,min_21,min_22,min_23,min_24,min_25,min_26,min_27,min_28,min_29,min_30,min_31,min_32,min_33,min_34,min_35,min_36,min_37,min_38,min_39,min_40,min_41,min_42,min_43,min_44,min_45,min_46,min_47,min_48,min_49,min_50,min_51,min_52,min_53,min_54,min_55,min_56,min_57,min_58,min_59,min_60,min_61,min_62,min_63,min_64,min_65,min_66,min_67,min_68,min_69,min_70,min_71,min_72,min_73,min_74,min_75,min_76,min_77,min_78,min_79,min_80,min_81,min_82,min_83,min_84,min_85,min_86,min_87,min_88,min_89,min_90,min_91,min_92,min_93,min_94,min_95
1832,0,-8,67,20,44,320,419,235,123,1369,1609,1417,1742,1826,2130,3640,3048,2786.0,2799.0,2941.0,2620.0,2683.0,3207.0,2258.0,1580.0,838.0,2001.0,4190.0,5946.0,6925.0,8281.0,7315.0,6370.0,6311.0,6017.0,7947.0,9598.0,11983.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,0,0,11,185,24,323,881,926,366,-17,-50,-457,-41,-687,35,-211,-124,-473.0,-12.0,253.0,-477.0,-805.0,-711.0,-812.0,-774.0,-1213.0,-1010.0,-493.0,-232.0,-255.0,-715.0,-1464.0,-2977.0,-3364.0,-4544.0,-5605.0,-6063.0,-6342.0,-6211.0,-9159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,0,0,59,381,647,-83,316,100,138,424,159,216,330,596,661,598,163,631.0,572.0,1480.0,1303.0,1450.0,1485.0,1642.0,-1801.0,-2571.0,-3966.0,-7517.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,0,0,551,443,351,254,-26,264,-47,156,-7,408,668,15,-1422,-924,-1370,-2473.0,-2817.0,-5563.0,-5109.0,-6084.0,-6781.0,-6932.0,-10466.0,-10901.0,-14464.0,-17275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,0,0,28,-106,438,629,970,842,210,113,1141,893,1308,1163,1086,1730,1989,1627.0,1768.0,1391.0,1682.0,1084.0,1123.0,1348.0,1614.0,1342.0,457.0,1120.0,2491.0,2110.0,5608.0,6477.0,6983.0,9283.0,8574.0,8433.0,8885.0,10027.0,11641.0,12161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,0,0,-11,-389,-481,-1176,-1165,-1176,-1423,-1842,-1668,-1636,-1728,-1943,-3105,-2891,-3181,-2830.0,-2533.0,-771.0,-847.0,-427.0,-2930.0,-3259.0,-4992.0,-6853.0,-6518.0,-6415.0,-7639.0,-6211.0,-2799.0,-2011.0,-1684.0,173.0,5.0,502.0,247.0,3149.0,2274.0,2864.0,5854.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,0,0,-18,163,336,277,138,244,198,356,135,-110,-228,-751,-145,554,-232,-483.0,-804.0,-1042.0,-763.0,-765.0,-1331.0,-599.0,-996.0,-222.0,2782.0,6562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,0,0,85,94,16,299,476,-48,-319,670,822,1166,2084,995,1409,2003,2804,2632.0,3203.0,2992.0,4991.0,5617.0,6350.0,6260.0,7380.0,11875.0,13019.0,14909.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,0,0,163,-354,765,619,966,851,971,1197,1749,-165,-733,-348,-571,-2033,-2564,-3264.0,-4772.0,-4657.0,-4777.0,-5875.0,-6102.0,-7157.0,-6496.0,-7036.0,-10375.0,-12855.0,-16587.0,-18129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,0,16,-30,-147,-259,-227,-201,-444,-261,-352,-364,-951,-985,-1481,-1569,-1652,-1821,-1922.0,-1985.0,-2609.0,-2411.0,-2084.0,-2522.0,-3063.0,-2922.0,-4159.0,-4294.0,-4059.0,-4272.0,-4406.0,-5592.0,-7475.0,-9344.0,-9271.0,-10070.0,-9435.0,-9628.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,0,0,44,-384,-473,-675,-812,-867,-620,-1417,-2747,-3011,-3663,-4571,-4464,-4572,-5870,-6233.0,-6398.0,-7148.0,-8378.0,-8611.0,-9165.0,-10802.0,-11433.0,-14976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,0,0,5,-195,-461,511,549,241,-353,-395,-62,-411,-67,48,-320,60,215,2041.0,2038.0,2626.0,2656.0,3038.0,3750.0,4151.0,4475.0,6342.0,6862.0,7128.0,7759.0,8703.0,13071.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,0,0,140,302,347,584,838,694,1846,1743,1823,1699,1672,1711,2827,2358,2542,4149.0,3545.0,3691.0,3782.0,3487.0,3644.0,4022.0,3693.0,2379.0,2244.0,2530.0,2493.0,2787.0,2808.0,2846.0,2896.0,2537.0,2676.0,2788.0,3109.0,3263.0,2864.0,7352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
